Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,spend,sample
"2,019",2,1,1,17,2,1,5,1,1,"5,232.141","8,916.484","2,052,526.088",3
"2,019",2,1,1,17,2,1,5,1,2,"1,547.798","6,191.192","54,172.930",1
"2,019",2,1,1,17,2,1,5,2,1,"1,825.663","3,651.326","365,132.600",1
"2,019",2,1,1,17,2,1,6,1,1,"1,547.798","4,643.394","773,899.000",1
"2,019",2,1,1,17,2,1,6,1,3,"1,547.798","24,764.768","3,559,935.400",1
"2,019",2,1,1,17,4,1,3,1,1,"5,848.998","17,546.994",0.000,1
"2,019",2,1,1,17,4,1,3,2,2,"8,730.013","55,087.157","2,309,160.400",2
"2,019",2,1,1,17,4,1,4,2,1,"2,334.464","7,003.392","466,892.800",1
"2,019",2,1,1,17,4,1,4,2,2,"1,069.745","10,697.450","342,318.400",1
"2,019",2,1,1,17,4,1,4,2,3,"1,069.745","14,976.430","40,650.310",1
"2,019",2,1,1,17,4,1,5,2,2,"1,069.745","9,627.705","142,276.085",1
"2,019",2,1,1,17,4,1,6,1,2,"6,831.775","42,060.395","4,251,879.995",3
"2,019",2,1,1,17,4,1,6,2,2,"1,069.745","10,697.450","217,158.235",1
"2,019",2,1,1,17,4,1,7,1,1,"2,334.464","7,003.392","233,446.400",1
"2,019",2,1,1,17,4,2,3,2,2,"2,881.015","20,167.105","1,233,074.420",1
"2,019",2,1,1,18,4,1,4,2,1,"1,825.663","5,476.989","182,566.300",1
"2,019",2,1,1,19,1,1,2,2,1,"1,060.037","2,120.074","136,744.773",1
"2,019",2,1,1,19,1,1,9,1,2,648.048,"2,592.192","342,169.344",1
"2,019",2,1,1,19,1,2,4,2,2,"1,060.037","5,300.185","808,808.231",1
"2,019",2,1,1,19,2,1,3,1,2,"1,585.103","6,340.412","962,157.521",1
"2,019",2,1,1,19,2,1,5,1,1,"4,273.090","10,682.725","2,471,982.565",2
"2,019",2,1,1,19,2,1,6,1,1,792.534,"1,585.068","435,893.700",1
"2,019",2,1,1,19,2,1,6,2,1,"1,060.037","2,120.074","212,007.400",1
"2,019",2,1,1,19,2,2,4,1,2,792.534,"3,170.136","488,200.944",1
"2,019",2,1,1,19,4,1,3,2,2,489.076,"2,445.380","97,815.200",1
"2,019",2,1,1,19,4,1,4,2,2,"2,881.015","14,405.075","576,203.000",1
"2,019",2,1,1,19,4,1,7,2,2,"2,881.015","28,810.150","864,304.500",1
"2,019",2,1,1,19,5,1,3,2,1,"2,881.015","5,762.030","288,101.500",1
"2,019",2,1,1,20,1,1,1,1,1,"5,848.998","11,697.996","953,386.674",1
"2,019",2,1,1,20,1,1,1,1,2,"1,547.798","7,738.990","968,921.548",1
"2,019",2,1,1,20,1,1,1,2,1,"2,530.230","4,669.720","426,629.115",2
"2,019",2,1,1,20,1,1,1,2,2,"3,695.719","17,703.846","1,216,664.254",3
"2,019",2,1,1,20,1,1,2,1,1,"4,910.433","13,661.554","3,239,843.876",3
"2,019",2,1,1,20,1,1,2,1,2,"16,327.650","100,134.503","2,926,397.289",8
"2,019",2,1,1,20,1,1,2,2,1,"11,858.481","32,713.597","4,681,854.696",4
"2,019",2,1,1,20,1,1,2,2,2,"15,204.794","69,777.954","5,347,371.985",9
"2,019",2,1,1,20,1,1,3,1,1,"5,934.538","14,152.288","1,335,827.958",4
"2,019",2,1,1,20,1,1,3,1,2,"7,792.128","44,857.744","4,244,376.041",7
"2,019",2,1,1,20,1,1,3,1,3,919.664,"22,071.936","91,966.400",1
"2,019",2,1,1,20,1,1,3,1,4,"1,547.798","77,389.900","3,095,596.000",1
